loc_rowid,pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist
3,11 Com b,11 Com,1,Radial Velocity,2007,323.21000000,1.178000,,,,G8 III,4874.00,13.76,2.09,1.978,93.1846000
4,11 UMi b,11 UMi,1,Radial Velocity,2009,516.21997000,1.530000,,,,,4213.00,29.79,2.78,,125.3210000
7,14 And b,14 And,1,Radial Velocity,2008,186.76000000,0.775000,,,,K0 III,4888.00,11.55,1.78,1.840,75.4392000
12,14 Her b,14 Her,1,Radial Velocity,2002,1765.03890000,2.774000,,8.05300,,,,,0.91,,17.9323000
23,16 Cyg B b,16 Cyg B,1,Radial Velocity,1996,798.50000000,1.660000,,,,,5750.00,1.13,1.08,,21.1397000
24,17 Sco b,17 Sco,1,Radial Velocity,2020,578.38000000,1.450000,,,,K3 III,4157.00,25.92,1.22,2.254,124.9530000
26,18 Del b,18 Del,1,Radial Velocity,2008,982.85000000,2.476000,,,,G6 III,4980.00,8.80,2.10,1.634,76.2220000
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,2008,,330.000000,,8.00000,1700,K7 V,4060.00,,0.85,-0.370,139.1350000
32,24 Boo b,24 Boo,1,Radial Velocity,2018,30.33000000,0.194000,,,,G3 IV,4816.00,12.19,1.05,1.877,95.9863000
34,24 Sex b,24 Sex,1,Radial Velocity,2010,452.80000000,1.333000,,,,,5098.00,4.90,1.54,1.164,72.0691000
35,24 Sex c,24 Sex,1,Radial Velocity,2010,883.00000000,2.080000,,,,,5098.00,4.90,1.54,1.164,72.0691000
36,2M0437 b,2MASS J04372171+2651014,1,Imaging,2021,,118.000000,,4.00000,1450,M V,3100.00,0.84,0.17,-1.164,128.4840000
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,2013,,84.000000,,13.00000,,M5.5/M6,,,0.19,,
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,2013,,52.000000,,24.50000,,M3.5 V,3530.00,,0.40,-1.720,33.8281000
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,2015,,156.000000,1.440,13.90000,,M6,3064.00,0.28,0.11,-2.230,
41,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,2010,,15.000000,,7.50000,,M8.5,,,0.02,,
42,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,2004,,55.000000,,5.00000,1250,M8,,,0.02,,64.3080000
44,2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,Eclipse Timing Variations,2015,406.00000000,,,,,,29564.00,0.20,0.48,,396.3320000
46,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,2016,,230.000000,,12.50000,,K7 V,4045.00,,0.60,,69.5737000
49,30 Ari B b,30 Ari B,1,Radial Velocity,2009,335.10001000,0.990000,,,,,6331.00,1.41,1.93,,44.6570000
50,4 UMa b,4 UMa,1,Radial Velocity,2006,270.27000000,0.877000,,,,K1 III,4415.00,18.11,1.23,,73.4603000
52,42 Dra b,42 Dra,1,Radial Velocity,2008,479.10000000,1.190000,,,,K1.5 III,4200.00,22.03,0.98,,90.6545000
54,47 UMa b,47 UMa,1,Radial Velocity,1996,1078.00000000,2.100000,,,,,5872.00,1.21,1.06,0.198,13.7967000
58,47 UMa c,47 UMa,1,Radial Velocity,2001,2391.00000000,3.600000,,,,,5872.00,1.21,1.06,0.198,13.7967000
61,47 UMa d,47 UMa,1,Radial Velocity,2009,14002.00000000,11.600000,,,,,5872.00,1.21,1.06,0.198,13.7967000
65,51 Eri b,51 Eri,1,Imaging,2015,,13.200000,,2.00000,700,F0 IV,,,1.75,0.850,29.7575000
70,51 Peg b,51 Peg,1,Radial Velocity,1995,4.23078500,0.052700,,,,,5758.00,1.18,1.03,0.136,15.4614000
